등급,가격,개봉여부,미세손상,외관손상,내부LCD손상,화면잔상,기능불량,기종,용량
C,570000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 14 플러스,256GB
D,113000.0,개봉,없음,테두리,없음,없음,없음,갤럭시 노트 10,256GB
D,172000.0,개봉,테두리,없음,없음,없음,펜분실,아이폰 12,64GB
C,118000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,갤럭시 Z플립3,256GB
C,118000.0,개봉,테두리,테두리,없음,없음,"스피커, 마이크",갤럭시 Z플립3,256GB
E,90000.0,개봉,"후면, 테두리","후면, 테두리",LCD 파손,"터치, 배터리성능저하",검수중,아이폰 XR,64GB
E,1000.0,개봉,전면,"후면, 테두리",없음,잔상있음,"카메라, 생체인식, 터치",옵티머스 2X,16GB
C,730000.0,개봉,전면,후면,없음,없음,없음,아이폰 14 프로,256GB
C,322000.0,개봉,없음,후면,없음,없음,없음,아이폰 12 프로,128GB
E,92000.0,개봉,"전면, 테두리",테두리,LCD 파손,없음,검수중,아이폰 11 프로,64GB
D,252000.0,개봉,없음,"후면, 테두리",없음,없음,카메라,아이폰 12 프로,128GB
D,187000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 11,128GB
A,237000.0,개봉,없음,없음,없음,없음,없음,아이폰 XR,256GB
S,1261000.0,미개봉,없음,없음,없음,없음,없음,아이폰 15 프로,256GB
D,45000.0,개봉,"전면, 후면",없음,없음,없음,배터리성능저하,아이폰 6S,64GB
D,460000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 13 프로,128GB
E,21000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,터치,검수중,갤럭시 S9,64GB
C,725000.0,개봉,전면,없음,없음,없음,없음,아이폰 14 프로,128GB
C,102000.0,개봉,후면,후면,없음,없음,없음,갤럭시 S9 플러스,256GB
F,1000.0,개봉,전면,없음,없음,없음,전원,갤럭시 노트 8,64GB
D,207000.0,개봉,전면,테두리,없음,없음,배터리성능저하,아이폰 11,128GB
C,217000.0,개봉,전면,"후면, 테두리",없음,없음,없음,아이폰 11 프로,64GB
A,12000.0,개봉,없음,없음,없음,없음,없음,갤럭시 그랜드 맥스,16GB
A,52000.0,개봉,없음,없음,없음,없음,없음,갤럭시 노트 5,64GB
E,90000.0,개봉,없음,후면,없음,없음,"스피커, 마이크, 진동, 생체인식",아이폰 XR,64GB
D,302000.0,개봉,"전면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로,128GB
C,227000.0,개봉,전면,없음,없음,없음,없음,아이폰 11,128GB
C,730000.0,개봉,없음,후면,없음,없음,없음,아이폰 14 프로,256GB
D,277000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 13 미니,128GB
D,102000.0,개봉,전면,전면,없음,없음,없음,아이폰 XS,64GB
A,354000.0,개봉,전면,전면,없음,없음,없음,아이폰 12,128GB
E,110000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로,256GB
A,750000.0,개봉,없음,없음,없음,없음,생체인식,아이패드 프로 12.9 4세대 Wifi,512GB
D,192000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 미니,128GB
D,229000.0,개봉,전면,"후면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로,128GB
D,409000.0,개봉,전면,"후면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로 맥스,128GB
C,289000.0,개봉,"전면, 테두리",없음,없음,없음,와이파이,갤럭시 S22,256GB
E,180000.0,개봉,없음,후면,없음,없음,배터리성능저하,아이폰 11,64GB
C,289000.0,개봉,없음,테두리,없음,없음,없음,갤럭시 S22,256GB
E,180000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,배터리성능저하,검수중,아이폰 11,64GB
B,45000.0,개봉,"전면, 후면",없음,없음,없음,없음,갤럭시 A21S,32GB
D,490000.0,개봉,"전면, 후면",전면,없음,없음,없음,아이폰 13 프로,256GB
C,127000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,없음,갤럭시 S20,128GB
D,510000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 14,128GB
D,105000.0,개봉,"전면, 후면, 테두리",없음,없음,없음,"생체인식, 배터리성능저하",아이폰 XS,64GB
D,252000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 12,256GB
D,312000.0,개봉,"전면, 테두리",후면,없음,없음,"배터리성능저하, 생체인식",아이폰 12 프로,256GB
D,460000.0,개봉,없음,테두리,없음,없음,배터리성능저하,아이폰 13 프로,128GB
D,142000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 8 플러스,256GB
A,565000.0,개봉,없음,없음,없음,없음,없음,아이폰 14,128GB
D,1000.0,개봉,없음,전면,없음,없음,없음,아이패드 미니 2세대 Wifi,16GB
D,242000.0,개봉,전면,테두리,없음,없음,배터리성능저하,아이폰 12,128GB
D,349000.0,개봉,전면,테두리,없음,없음,"카메라, 배터리성능저하",아이폰 12 프로 맥스,128GB
E,22000.0,개봉,전면,전면,LCD 파손,없음,검수중,아이폰 7,128GB
D,460000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 13 프로,128GB
C,71000.0,개봉,"전면, 후면, 테두리",없음,없음,없음,없음,갤럭시 S10E,128GB
E,3000.0,개봉,후면,"전면, 테두리",LCD 파손,배터리성능저하,검수중,아이폰 6S,16GB
D,187000.0,개봉,"전면, 테두리","전면, 테두리",없음,없음,배터리성능저하,아이폰 11,128GB
B,130000.0,개봉,테두리,없음,없음,없음,없음,아이폰 12 미니,256GB
D,435000.0,개봉,테두리,전면,없음,없음,없음,아이폰 12 프로 맥스,256GB
E,87000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"카메라, 터치, 생체인식",검수중,갤럭시 S20 울트라,256GB
B,227000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",LCD 파손,"카메라, 터치, 생체인식",검수중,갤럭시S21 플러스,256GB
D,237000.0,개봉,테두리,없음,없음,없음,없음,아이폰 11 프로,256GB
A,284000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,갤럭시S21,256GB
D,307000.0,개봉,없음,없음,없음,없음,없음,아이폰 13 미니,256GB
D,322000.0,개봉,"후면, 테두리","후면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로,128GB
